Hey CADOCS, tell which community smells are present in the repository LINK ?;Hey CADOCS, tell which community smells are present in the repository LINK ?;get_smells
 CADOCS can you tell which community smells are present in the LINK ?;how can you tell if your link contains any community smells?;get_smells
 CADOCS can you tell which community smells are present in the LINK ?;can cadocs tell me what community smells are present in the link?;get_smells
 CADOCS can you tell which community smells are present in the LINK ?;can cadocs tell me which community smells are present in the link?;get_smells
I would like to know what are the community smells in this LINK;i'd like to know what smells the community has in this link;get_smells
I would like to know what are the community smells in this LINK;i'd like to know what the community smells in this link;get_smells
I would like to know what are the community smells in this LINK;i would like to know what the community smell in this link;get_smells
"What are the community smells in the LINK project?""";"What are the community smells in the LINK project?""";get_smells
Are there any community smell here, LINK?;is there a community smell link?;get_smells
Hey CADOCS,  tell which community smells are present in the repository LINK after 03/23/2019;Hey CADOCS,  tell which community smells are present in the repository LINK after 03/23/2019;get_smells_date
CADOCS can you tell which community smells are present in the repository LINK after 01/16/2028?;if you see any community smells listed in the repository link on 01162028 can you use gtks to search for them?;get_smells_date
I would like to know what ate the community smells in this repo LINK starting from this date MM/DD/YYYY;I would like to know what ate the community smells in this repo LINK starting from this date MM/DD/YYYY;get_smells_date
Hello CADOCS, I need a report of your last execution;Hello CADOCS, I need a report of your last execution;report
Hey CADOCS, give me a report of your last execution;give me a report of your last execution;report
CADOCS I need a report on your last execution, can you give it to me?;can you provide me with a report on your last execution?;report
CADOCS I need a report on your last execution, can you give it to me?;can you give me a report on your last execution?;report
show a report about the last execution;can you provide a report about the last execution;report
I need a report of the last execution;i need a report from the last execution;report
I need a report of the last execution;i need a report on the last execution;report
I need a report of the last execution;i need a report of the last execution;report
Hey CADOCS can you tell me more about the community smells you can detect?;can you tell me more about the community scents that you can detect?;info
Hey CADOCS can you tell me more about the community smells you can detect?;can you tell me more about the community smells you can detect?;info
Hey CADOCS can you tell me more about the community smells you can detect?;hey cadocs can you tell me more about community smells you can detect?;info
Hi, what community smells are you able to find?;what smells are you able to find in your community?;info
Hi, what community smells are you able to find?;what smells do you have?;info
Hi, what community smells are you able to find?;tell me the community smells?;info
CADOCS what kind of community smells can you detect?;is there any kind of smell which can be detected by cadocs?;info
CADOCS what kind of community smells can you detect?;what types of community smells are possible with cadocs?;info
CADOCS what kind of community smells can you detect?;are there any kind of smells in the community in cadocs?;info
CADOCS, what community smells can you detect?;what does cadocs smell?;info
CADOCS, what community smells can you detect?;what smell do you see?;info
CADOCS, what community smells can you detect?;what local smells can you detect?;info
What are these community smells? How do I found more about community smells? What can you do for me?;tell me the community smell?;info
What are these community smells? How do I found more about community smells? What can you do for me?;what are community smells?;info
What are these community smells? How do I found more about community smells? What can you do for me?;tell me the community smells?;info
